  TimeWindow  Iteration  ResRel(Neumann-Mesh:Temperature)
     1       1   4.73612321e+00
     1       2   1.71387192e+00
     1       3   6.94620347e-01
     1       4   2.93381386e-01
     1       5   1.25978955e-01
     1       6   5.44495776e-02
     1       7   2.36029589e-02
     1       8   1.02376528e-02
     1       9   4.44362162e-03
     1      10   1.92737844e-03
     1      11   8.35760622e-04
