  TimeWindow  Iteration  ResRel(Neumann-Mesh:Temperature)
     1       1   4.73610968e+00
     1       2   2.00545517e+00
     1       3   9.30764173e-01
     1       4   4.48948154e-01
     1       5   2.20407821e-01
     1       6   1.09116545e-01
     1       7   5.42343153e-02
     1       8   2.70049947e-02
     1       9   1.34567687e-02
     1      10   6.70719857e-03
     1      11   3.34292130e-03
     1      12   1.66621694e-03
     1      13   8.29765031e-04
     1      14   4.13292455e-04
     1      15   2.05818415e-04
     1      16   1.02473737e-04
     1      17   5.10104572e-05
     1      18   2.53864418e-05
     1      19   1.26309360e-05
     1      20   6.28291106e-06
